seed_id,target_id,source_ideology,source_topic,rank,condition,target_ideology,target_topic
I8X66YHIHEA,xUwikz7-wEg,anti_feminism,sexual_violence,1,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,1-OQ6yG9OIU,anti_feminism,sexual_violence,2,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,8esjccnsrDo,anti_feminism,sexual_violence,3,baseline ,feminism,sexual_violence
I8X66YHIHEA,c9mqpZsaLZI,anti_feminism,sexual_violence,4,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,zqHmY35wyr0,anti_feminism,sexual_violence,5,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,HwG6j9oydpA,anti_feminism,sexual_violence,6,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,h1_Vo0QxzbU,anti_feminism,sexual_violence,7,baseline ,neutral,other
I8X66YHIHEA,gvLWLmsfk7M,anti_feminism,sexual_violence,8,baseline ,feminism,sexual_violence
I8X66YHIHEA,RkARzQimk5U,anti_feminism,sexual_violence,9,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,WUAPu89oRNs,anti_feminism,sexual_violence,10,baseline ,neutral,sexual_violence
I8X66YHIHEA,wguFOXUrdtE,anti_feminism,sexual_violence,11,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,3IBAFpwXYCQ,anti_feminism,sexual_violence,12,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,oWDVTIc5Hf8,anti_feminism,sexual_violence,13,baseline ,neutral,other
I8X66YHIHEA,aylGYuAuCqQ,anti_feminism,sexual_violence,14,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,co64UIafvvQ,anti_feminism,sexual_violence,15,baseline ,neutral,other
I8X66YHIHEA,PlL1sEGKnW4,anti_feminism,sexual_violence,16,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,s1oI9ZTSCdo,anti_feminism,sexual_violence,17,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,2xE00wGzy1M,anti_feminism,sexual_violence,18,baseline ,anti_feminism,sexual_violence
I8X66YHIHEA,qRlzNewkCDY,anti_feminism,sexual_violence,19,baseline ,neutral,other
I8X66YHIHEA,MikbGE4YClE,anti_feminism,sexual_violence,20,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,Sns5h1_Dz90,anti_feminism,sexual_violence,1,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,9LmoMnzBcHI,anti_feminism,sexual_violence,2,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,9ELcDEr5WQ0,anti_feminism,sexual_violence,3,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,jblIRqZiJgA,anti_feminism,sexual_violence,4,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,aylGYuAuCqQ,anti_feminism,sexual_violence,5,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,gi3jLUXGKf8,anti_feminism,sexual_violence,6,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,hgNwxg5Et2w,anti_feminism,sexual_violence,7,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,wguFOXUrdtE,anti_feminism,sexual_violence,8,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,xUwikz7-wEg,anti_feminism,sexual_violence,9,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,0Cox0G6e5y8,anti_feminism,sexual_violence,10,baseline ,neutral,sexual_violence
2xE00wGzy1M,UeNvy-8-5pI,anti_feminism,sexual_violence,11,baseline ,neutral,sexual_violence
2xE00wGzy1M,UHsnXDp4h9I,anti_feminism,sexual_violence,12,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,Vd6VbgPfIEE,anti_feminism,sexual_violence,13,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,GWTeST8OHkE,anti_feminism,sexual_violence,14,baseline ,feminism,sexual_violence
2xE00wGzy1M,CF_-GTj6fTE,anti_feminism,sexual_violence,15,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,PlL1sEGKnW4,anti_feminism,sexual_violence,16,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,cFNPut1KHYI,anti_feminism,sexual_violence,17,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,8dczh8aJnYY,anti_feminism,sexual_violence,18,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,u7LaJN3EL4I,anti_feminism,sexual_violence,19,baseline ,anti_feminism,sexual_violence
2xE00wGzy1M,F6c_Aq-Npdg,anti_feminism,sexual_violence,20,baseline ,anti_feminism,sexual_violence
A9kKp94b8kw,RcyfTndrlYY,anti_feminism,dating_marriage,1,baseline ,neutral,dating_marriage
A9kKp94b8kw,dRwB9eljD3w,anti_feminism,dating_marriage,2,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,Riu6YgnKGo8,anti_feminism,dating_marriage,3,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,wLU44OSGqGI,anti_feminism,dating_marriage,4,baseline ,neutral,other
A9kKp94b8kw,8kynGHUAC_I,anti_feminism,dating_marriage,5,baseline ,neutral,dating_marriage
A9kKp94b8kw,HHWLMhSohuc,anti_feminism,dating_marriage,6,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,0IQpJao9848,anti_feminism,dating_marriage,7,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,RxCKNFeGRoc,anti_feminism,dating_marriage,8,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,cVZDsscuJXE,anti_feminism,dating_marriage,9,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,VEzRoKekNrI,anti_feminism,dating_marriage,10,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,kGX7zCPB_r4,anti_feminism,dating_marriage,11,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,y28QbaodQyw,anti_feminism,dating_marriage,12,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,KCOyva7wgVs,anti_feminism,dating_marriage,13,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,flN8J8RZuug,anti_feminism,dating_marriage,14,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,wQjXjfpw2nM,anti_feminism,dating_marriage,15,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,rBhMUZzd_rE,anti_feminism,dating_marriage,16,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,Kmtin-ozbBw,anti_feminism,dating_marriage,17,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,rG5os0ktzeg,anti_feminism,dating_marriage,18,baseline ,anti_feminism,dating_marriage
A9kKp94b8kw,CLQTff2Qvtw,anti_feminism,dating_marriage,19,baseline ,neutral,dating_marriage
A9kKp94b8kw,79uxxpPmLts,anti_feminism,dating_marriage,20,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,6cKSXCIi1xM,anti_feminism,dating_marriage,1,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,vFPd87EdGxA,anti_feminism,dating_marriage,2,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,8mz7clD_sLM,anti_feminism,dating_marriage,3,baseline ,neutral,dating_marriage
PrfaI9z0mGU,4Sj2DG3wNvs,anti_feminism,dating_marriage,4,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,PnJrE6f7mxg,anti_feminism,dating_marriage,5,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,SEa-3AoIs8w,anti_feminism,dating_marriage,6,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,vRGU8oZm5AM,anti_feminism,dating_marriage,7,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,FOQDoa72Nic,anti_feminism,dating_marriage,8,baseline ,neutral,dating_marriage
PrfaI9z0mGU,qVC0RtJNSP8,anti_feminism,dating_marriage,9,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,IEEsArxoSoo,anti_feminism,dating_marriage,10,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,ijo_ACGCwo0,anti_feminism,dating_marriage,11,baseline ,neutral,dating_marriage
PrfaI9z0mGU,Cr-4KwESJoo,anti_feminism,dating_marriage,12,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,KCc3vLhsfOo,anti_feminism,dating_marriage,13,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,flN8J8RZuug,anti_feminism,dating_marriage,14,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,6QeqLwOefiw,anti_feminism,dating_marriage,15,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,tkRUJodjLsY,anti_feminism,dating_marriage,16,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,oO9bNvepZfU,anti_feminism,dating_marriage,17,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,V4TSURKTRXU,anti_feminism,dating_marriage,18,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,nnf0YvdmAmw,anti_feminism,dating_marriage,19,baseline ,anti_feminism,dating_marriage
PrfaI9z0mGU,aivgiHXmc_I,anti_feminism,dating_marriage,20,baseline ,anti_feminism,dating_marriage
rDWTEVUfEcY,QUNyw8Ca90E,anti_feminism,gender_conflict_discourse,1,baseline ,neutral,electoral_generational_conflict
rDWTEVUfEcY,04zCXTKuMMk,anti_feminism,gender_conflict_discourse,2,baseline ,neutral,dating_marriage
rDWTEVUfEcY,oWDVTIc5Hf8,anti_feminism,gender_conflict_discourse,3,baseline ,neutral,other
rDWTEVUfEcY,dj_QzDTRg5g,anti_feminism,gender_conflict_discourse,4,baseline ,anti_feminism,gender_conflict_discourse
rDWTEVUfEcY,08PlDdDmEDI,anti_feminism,gender_conflict_discourse,5,baseline ,neutral,other
rDWTEVUfEcY,oGeXDTgU1AM,anti_feminism,gender_conflict_discourse,6,baseline ,neutral,gender_conflict_discourse
rDWTEVUfEcY,MFllCjqGHRo,anti_feminism,gender_conflict_discourse,7,baseline ,neutral,other
rDWTEVUfEcY,LKJMwzcWctQ,anti_feminism,gender_conflict_discourse,8,baseline ,neutral,other
rDWTEVUfEcY,Jk0n1Bn9R8M,anti_feminism,gender_conflict_discourse,9,baseline ,neutral,other
rDWTEVUfEcY,XCpZ-6_8zDQ,anti_feminism,gender_conflict_discourse,10,baseline ,neutral,other
rDWTEVUfEcY,epQGMKTicN4,anti_feminism,gender_conflict_discourse,11,baseline ,feminism,sexual_violence
rDWTEVUfEcY,Tslysu_mtyc,anti_feminism,gender_conflict_discourse,12,baseline ,neutral,other
rDWTEVUfEcY,cL1EsgFqVLU,anti_feminism,gender_conflict_discourse,13,baseline ,neutral,electoral_generational_conflict
rDWTEVUfEcY,kWP6Ij1U2Sg,anti_feminism,gender_conflict_discourse,14,baseline ,neutral,other
rDWTEVUfEcY,h1_Vo0QxzbU,anti_feminism,gender_conflict_discourse,15,baseline ,neutral,other
rDWTEVUfEcY,gvLWLmsfk7M,anti_feminism,gender_conflict_discourse,16,baseline ,feminism,sexual_violence
rDWTEVUfEcY,XAdR1PaPzqQ,anti_feminism,gender_conflict_discourse,17,baseline ,neutral,other
rDWTEVUfEcY,FdKtvmTBAXc,anti_feminism,gender_conflict_discourse,18,baseline ,neutral,other
rDWTEVUfEcY,yHzJpEdZmr8,anti_feminism,gender_conflict_discourse,19,baseline ,neutral,other
rDWTEVUfEcY,SxYEtMjZWcs,anti_feminism,gender_conflict_discourse,20,baseline ,neutral,electoral_generational_conflict
zaUVwiD2keU,MW_kYAFav-c,anti_feminism,gender_conflict_discourse,1,baseline ,neutral,other
zaUVwiD2keU,Tslysu_mtyc,anti_feminism,gender_conflict_discourse,2,baseline ,neutral,other
zaUVwiD2keU,clvneMg9SR0,anti_feminism,gender_conflict_discourse,3,baseline ,neutral,other
zaUVwiD2keU,LLHJf9nx6Yg,anti_feminism,gender_conflict_discourse,4,baseline ,neutral,other
zaUVwiD2keU,3jNmX2gtuKA,anti_feminism,gender_conflict_discourse,5,baseline ,neutral,other
zaUVwiD2keU,4m00WPCvRZw,anti_feminism,gender_conflict_discourse,6,baseline ,feminism,gender_conflict_discourse
zaUVwiD2keU,PJ6EJPBX-R4,anti_feminism,gender_conflict_discourse,7,baseline ,anti_feminism,gender_conflict_discourse
zaUVwiD2keU,c5T7xjhcW1k,anti_feminism,gender_conflict_discourse,8,baseline ,neutral,other
zaUVwiD2keU,zH-CdfAQUFU,anti_feminism,gender_conflict_discourse,9,baseline ,neutral,other
zaUVwiD2keU,dJUW2xWrjkY,anti_feminism,gender_conflict_discourse,10,baseline ,neutral,other
zaUVwiD2keU,MUH8szIcXQo,anti_feminism,gender_conflict_discourse,11,baseline ,neutral,other
zaUVwiD2keU,riPhavChrVM,anti_feminism,gender_conflict_discourse,12,baseline ,neutral,other
zaUVwiD2keU,hCvz-srP6bE,anti_feminism,gender_conflict_discourse,13,baseline ,neutral,other
zaUVwiD2keU,oO3uVjs_1gg,anti_feminism,gender_conflict_discourse,14,baseline ,neutral,other
zaUVwiD2keU,uXOGRdTX2pY,anti_feminism,gender_conflict_discourse,15,baseline ,neutral,other
zaUVwiD2keU,VToEAj-Iwd8,anti_feminism,gender_conflict_discourse,16,baseline ,neutral,other
zaUVwiD2keU,pX1mZumMQ8s,anti_feminism,gender_conflict_discourse,17,baseline ,anti_feminism,gender_conflict_discourse
zaUVwiD2keU,Yy0jDix3rpU,anti_feminism,gender_conflict_discourse,18,baseline ,anti_feminism,gender_conflict_discourse
zaUVwiD2keU,etU12hGn7IA,anti_feminism,gender_conflict_discourse,19,baseline ,neutral,other
zaUVwiD2keU,E5eu-5CmSu4,anti_feminism,gender_conflict_discourse,20,baseline ,anti_feminism,gender_conflict_discourse
2F4R2yv9Vv0,BPfaGBehW98,anti_feminism,electoral_generational_conflict,1,baseline ,neutral,electoral_generational_conflict
2F4R2yv9Vv0,yu2nWsAIVcE,anti_feminism,electoral_generational_conflict,2,baseline ,neutral,electoral_generational_conflict
2F4R2yv9Vv0,h6hZNwiMMx4,anti_feminism,electoral_generational_conflict,3,baseline ,neutral,other
2F4R2yv9Vv0,9cFM1kKWqxE,anti_feminism,electoral_generational_conflict,4,baseline ,neutral,other
2F4R2yv9Vv0,KSsNViYImt0,anti_feminism,electoral_generational_conflict,5,baseline ,neutral,electoral_generational_conflict
2F4R2yv9Vv0,E6ACxaFfrTM,anti_feminism,electoral_generational_conflict,6,baseline ,neutral,other
2F4R2yv9Vv0,NkHy4u6B5iQ,anti_feminism,electoral_generational_conflict,7,baseline ,neutral,electoral_generational_conflict
