seed_id,target_id,source_ideology,source_topic,rank,condition
I8X66YHIHEA,xUwikz7-wEg,anti_feminism,sexual_violence,1,baseline 
I8X66YHIHEA,1-OQ6yG9OIU,anti_feminism,sexual_violence,2,baseline 
I8X66YHIHEA,8esjccnsrDo,anti_feminism,sexual_violence,3,baseline 
I8X66YHIHEA,c9mqpZsaLZI,anti_feminism,sexual_violence,4,baseline 
I8X66YHIHEA,zqHmY35wyr0,anti_feminism,sexual_violence,5,baseline 
I8X66YHIHEA,HwG6j9oydpA,anti_feminism,sexual_violence,6,baseline 
I8X66YHIHEA,h1_Vo0QxzbU,anti_feminism,sexual_violence,7,baseline 
I8X66YHIHEA,gvLWLmsfk7M,anti_feminism,sexual_violence,8,baseline 
I8X66YHIHEA,RkARzQimk5U,anti_feminism,sexual_violence,9,baseline 
I8X66YHIHEA,WUAPu89oRNs,anti_feminism,sexual_violence,10,baseline 
I8X66YHIHEA,wguFOXUrdtE,anti_feminism,sexual_violence,11,baseline 
I8X66YHIHEA,3IBAFpwXYCQ,anti_feminism,sexual_violence,12,baseline 
I8X66YHIHEA,oWDVTIc5Hf8,anti_feminism,sexual_violence,13,baseline 
I8X66YHIHEA,aylGYuAuCqQ,anti_feminism,sexual_violence,14,baseline 
I8X66YHIHEA,co64UIafvvQ,anti_feminism,sexual_violence,15,baseline 
I8X66YHIHEA,PlL1sEGKnW4,anti_feminism,sexual_violence,16,baseline 
I8X66YHIHEA,s1oI9ZTSCdo,anti_feminism,sexual_violence,17,baseline 
I8X66YHIHEA,2xE00wGzy1M,anti_feminism,sexual_violence,18,baseline 
I8X66YHIHEA,qRlzNewkCDY,anti_feminism,sexual_violence,19,baseline 
I8X66YHIHEA,MikbGE4YClE,anti_feminism,sexual_violence,20,baseline 
2xE00wGzy1M,Sns5h1_Dz90,anti_feminism,sexual_violence,1,baseline 
2xE00wGzy1M,9LmoMnzBcHI,anti_feminism,sexual_violence,2,baseline 
2xE00wGzy1M,9ELcDEr5WQ0,anti_feminism,sexual_violence,3,baseline 
2xE00wGzy1M,jblIRqZiJgA,anti_feminism,sexual_violence,4,baseline 
2xE00wGzy1M,aylGYuAuCqQ,anti_feminism,sexual_violence,5,baseline 
2xE00wGzy1M,gi3jLUXGKf8,anti_feminism,sexual_violence,6,baseline 
