condition,source_topic,beauty_norms_grooming,dating_marriage,electoral_generational_conflict,gender_conflict_discourse,other,sexual_violence,Total
anti_profile,beauty_norms,7,5,4,14,32,18,80
anti_profile,dating_marriage,2,15,3,11,32,17,80
anti_profile,electoral_generational_conflict,1,0,19,8,41,11,80
anti_profile,gender_conflict_discourse,0,1,5,8,49,17,80
anti_profile,sexual_violence,0,0,3,2,25,50,80
baseline,beauty_norms,1,1,5,0,72,1,80
baseline,dating_marriage,0,46,1,6,22,5,80
baseline,electoral_generational_conflict,1,4,30,9,36,0,80
baseline,gender_conflict_discourse,0,3,3,13,58,3,80
baseline,sexual_violence,0,1,3,1,28,47,80
fem_profile,beauty_norms,13,4,1,19,26,17,80
fem_profile,dating_marriage,9,17,1,23,15,15,80
fem_profile,electoral_generational_conflict,1,3,13,25,20,18,80
fem_profile,gender_conflict_discourse,2,1,2,30,25,20,80
fem_profile,sexual_violence,4,2,1,14,13,46,80
