video_id,title,ideology,topic,ideology_confidence,topic_confidence,reason,ideology_oldNO_Match,
xUwikz7-wEg,경찰이 남자편이 아닌 진짜 이유.. 현직 경찰관의 폭로,anti_feminism,sexual_violence,high,high,"The content discusses issues related to false accusations in sexual crime cases, which aligns with anti-feminist narratives that often focus on male grievances regarding legal matters related to sexual violence.",anti_feminism,
1-OQ6yG9OIU,"6년 전 헤어진 여친의 연락..""우리 첫 성관계는 성폭행이야"" (자막뉴스) / SBS",anti_feminism,sexual_violence,high,high,"The video discusses a man's experience of being falsely accused of sexual assault, emphasizing his suffering and the perceived misuse of the legal system by women, which aligns with anti-feminist narratives.",anti_feminism,
8esjccnsrDo,"""엉덩이 움켜쥔 느낌 아직도 생생""..여경 강제추행 '5초' CCTV 전말은 (자막뉴스) / SBS",feminism,sexual_violence,high,high,"The video discusses a case of sexual assault involving a policewoman, highlighting the seriousness of the incident and the legal proceedings, which aligns with feminist discourse on addressing sexual violence.",feminism,
c9mqpZsaLZI,억울한 성범죄 무고 이럴 때 고소하면 됩니다｜검사 출신 형사전문변호사 용성호,anti_feminism,sexual_violence,high,high,"The video discusses the process of filing false accusations in sexual crime cases, which aligns with anti-feminist narratives that often focus on male grievances regarding false allegations.",anti_feminism,
zqHmY35wyr0,"[사사건건] '허위 신고'에 성범죄 누명 쓴 20대 / 강압 수사 논란에 ""화성동탄경찰서장 파면"" 서명 운동 확산 - KBS  2024.07.02.",anti_feminism,sexual_violence,high,high,"The video discusses a case of false accusations in a sexual violence context, highlighting issues of police conduct and the implications for the accused male, which aligns with anti-feminist narratives regarding men's experiences in sexual crime allegations.",anti_feminism,
HwG6j9oydpA,"""남학생들과 술먹다 성폭행을.."" 조서 살펴본 판사의 '반전' [뉴스.zip/MBC뉴스]",anti_feminism,sexual_violence,high,high,"The video discusses a case of alleged false accusations of sexual assault, which aligns with anti-feminist narratives that criticize claims of sexual violence and emphasize male grievances.",anti_feminism,
h1_Vo0QxzbU,[자막뉴스] '탱크 데이' 심상치 않은 후폭풍...광주 지역 스타벅스 가보니 / YTN,neutral,other,high,high,The video discusses a public reaction to a corporate event and does not engage in gender-related discourse.,neutral,
gvLWLmsfk7M,내 여동생이 성폭행을 당했다. 1~5화 합본,feminism,sexual_violence,high,high,"The title and description indicate a focus on the aftermath of sexual violence, specifically addressing legal consultation related to a sexual assault case, which aligns with feminist discourse on sexual violence.",feminism,
RkARzQimk5U,[최고의 5분_스토리추적M] 누명으로 5개월 수감생활.. 화장실 성추행 사건! 그날의 진실은? MBN 220428 방송,anti_feminism,sexual_violence,medium,high,"The video discusses a case of wrongful accusation related to sexual assault, which aligns with anti-feminist narratives that often focus on false allegations and male victimization in the context of sexual violence.",anti_feminism,
WUAPu89oRNs,썸타던 외국인 모델과 데이트…'성폭행 고소' 악몽됐다 / JTBC 사건반장,neutral,sexual_violence,medium,high,"The video discusses a legal case involving a foreign model and allegations of sexual assault, presenting factual information without a clear ideological stance.",neutral,
wguFOXUrdtE,"성범죄 무고, '이것' 때문에 끊이지 않을 겁니다 (#무고죄)",anti_feminism,sexual_violence,high,high,"The video discusses false accusations in sexual crime cases, emphasizing the negative impact on the accused and presenting a narrative that aligns with anti-feminist sentiments regarding the perception of sexual violence allegations.",anti_feminism,
3IBAFpwXYCQ,평택 여경 강제추행 사건 0.3초 유죄이유와 반박! 성범죄전문로펌 법무법인 대한중앙,anti_feminism,sexual_violence,high,high,"The video discusses a specific sexual assault case involving a female police officer, focusing on legal arguments and potential victim contradictions, which aligns with anti-feminist narratives that often question women's credibility in sexual violence cases.",anti_feminism,
oWDVTIc5Hf8,[자막] 이스라엘 나포 사태에 격노한 이재명 대통령,neutral,other,high,high,"The video discusses a political event involving the President of South Korea and international relations, which does not directly relate to gender-related discourse.",neutral,
aylGYuAuCqQ,성범죄 무고 새로운 대처법,anti_feminism,sexual_violence,high,high,"The content focuses on legal advice for men facing false accusations of sexual crimes, which aligns with anti-feminist narratives that often emphasize male grievances and the perceived dangers of false allegations.",anti_feminism,
co64UIafvvQ,경찰과 대화하는 3가지 기술 | 경찰을  000 대하듯이 해라,neutral,other,high,high,"The video discusses techniques for interacting with police during investigations, which is informational and does not engage in gender-related discourse.",neutral,
PlL1sEGKnW4,⚠️ 이럴 때 무고죄 됩니다! 깜짝 놀랄 무고죄 성립 요건과 실제 처벌 사례 (성범죄 무고 주의!),anti_feminism,sexual_violence,high,high,"The video discusses the legal implications of false accusations in sexual violence cases, which aligns with anti-feminist narratives that often emphasize male grievances and skepticism towards women's claims in such contexts.",anti_feminism,
s1oI9ZTSCdo,"녹취록에 덜미…성폭행 피해 주장 20대, 무고죄 징역형 / JTBC 사건반장",anti_feminism,sexual_violence,high,high,"The video discusses a case where a woman falsely accused someone of sexual assault, which aligns with anti-feminist narratives that criticize false allegations and portray women negatively in the context of sexual violence.",anti_feminism,
2xE00wGzy1M,[필독] 성범죄무고대응 남자지침서 (1타강사가 알려줍니다),anti_feminism,sexual_violence,high,high,"The content focuses on providing guidance for men on how to respond to false accusations of sexual crimes, which aligns with anti-feminist sentiments and addresses issues related to sexual violence.",anti_feminism,
qRlzNewkCDY,경찰조사 10계명 | 경찰은 절대 내편이 아니다,neutral,other,high,high,"The video discusses legal advice and personal rights in the context of police investigations, which does not directly engage with gender-related discourse.",neutral,
MikbGE4YClE,"[자막뉴스] ""당신 무고로 피해자가 감옥 갈 수 있었다고요!"" 판사의 불호령 (2023.07.06/MBC뉴스)",anti_feminism,sexual_violence,high,high,"The video discusses the consequences of false accusations in the context of sexual violence, which aligns with anti-feminist narratives that often emphasize male victimization and criticize the feminist perspective on sexual assault.",anti_feminism,
Sns5h1_Dz90,성범죄 무혐의 입증 : 억울한 강제추행·강간 고소에서 살아남은 결정적 증거,anti_feminism,sexual_violence,high,high,"The video focuses on defending individuals accused of sexual crimes, emphasizing strategies to prove innocence, which aligns with anti-feminist narratives that often criticize the handling of sexual assault allegations.",anti_feminism,
9LmoMnzBcHI,성범죄 무고 역관광 성공기.. 인줄 알았죠?! 무고 형량이 이거 밖에 안된다고?!,anti_feminism,sexual_violence,high,high,"The content focuses on false accusations in sexual crime cases, which aligns with anti-feminist narratives that often criticize the feminist movement's impact on men's rights.",anti_feminism,
9ELcDEr5WQ0,"성범죄 변호사] 성범죄 경찰조사, 모의조사. 이렇게 조사받으면 100% 검찰로 넘어갑니다 (경찰조사 잘 받는 법) | 형사전문변호사 장현오",anti_feminism,sexual_violence,high,high,"The video discusses legal strategies for men accused of sexual crimes, focusing on defending against allegations, which aligns with anti-feminist narratives that often portray men as victims in the context of sexual violence.",anti_feminism,
jblIRqZiJgA,성범죄 사건에서 무죄를 주장할 수 있는 단 3가지의 경우 알려드립니다｜검사 출신 형사전문변호사 용성호,anti_feminism,sexual_violence,high,high,"The video discusses legal defenses in sexual crime cases, which aligns with anti-feminist narratives that often focus on men's rights in the context of sexual violence allegations.",anti_feminism,
gi3jLUXGKf8,여자는 강제추행해도 절대 입건도 안 되는 더러운 현실...,anti_feminism,sexual_violence,high,high,"The video discusses the perceived injustice in how sexual assault cases are handled, suggesting a bias against men, which aligns with anti-feminist sentiments. The focus on sexual violence further categorizes it under that topic.",anti_feminism,
hgNwxg5Et2w,"'성폭행 무고'에 경찰 '엉터리 수사', 감옥살이까지 했는데… / JTBC 사건반장",anti_feminism,sexual_violence,high,high,"The video discusses a case of wrongful accusation of sexual assault against a man, highlighting perceived injustices in the legal system, which aligns with anti-feminist narratives that criticize the treatment of men in sexual violence cases.",anti_feminism,
0Cox0G6e5y8,형사사건 합의?! 이 영상보면 무조건 도움됩니다! | 성범죄 합의 | 형사합의 | 적정합의금액,neutral,sexual_violence,high,high,"The video provides legal information about criminal cases, specifically focusing on settlements in sexual crime cases, without expressing a clear ideological stance.",neutral,
UeNvy-8-5pI,"성추행, 성폭행, 성희롱(강제추행), 정확히 알고 대응하기(40년 만에 바뀐 대법원 판례 포함)",neutral,sexual_violence,high,high,"The video provides legal information about sexual crimes, specifically focusing on the legal definitions and implications of sexual offenses, without advocating for or against any ideology.",neutral,
UHsnXDp4h9I,인생 망하게 하는 무고죄 처벌 되는 경우 vs 안 되는 경우,anti_feminism,sexual_violence,high,high,"The video discusses false accusations related to sexual crimes, which aligns with anti-feminist narratives that often focus on male grievances regarding false allegations.",anti_feminism,
