seed_id,target_id,source_ideology,source_topic,rank,condition
XCXDjTwbwYU,orkl3SS42BI,feminism,sexual_violence,1,fem_profile
XCXDjTwbwYU,sRFF64dEWC8,feminism,sexual_violence,2,fem_profile
XCXDjTwbwYU,D2X2KX8WtFM,feminism,sexual_violence,3,fem_profile
XCXDjTwbwYU,mJXeb5iHSAg,feminism,sexual_violence,4,fem_profile
XCXDjTwbwYU,fsdt6DfIXqA,feminism,sexual_violence,5,fem_profile
XCXDjTwbwYU,nMKp0JQ63oA,feminism,sexual_violence,6,fem_profile
XCXDjTwbwYU,7eYJQqKFSyo,feminism,sexual_violence,7,fem_profile
XCXDjTwbwYU,WGMgp8sup0w,feminism,sexual_violence,8,fem_profile
XCXDjTwbwYU,yEN0bu8EoQY,feminism,sexual_violence,9,fem_profile
XCXDjTwbwYU,9GNmfVnZEAY,feminism,sexual_violence,10,fem_profile
XCXDjTwbwYU,zGghfKiwfD4,feminism,sexual_violence,11,fem_profile
XCXDjTwbwYU,#NAME?,feminism,sexual_violence,12,fem_profile
XCXDjTwbwYU,itk5BjARJKU,feminism,sexual_violence,13,fem_profile
XCXDjTwbwYU,42UKZmG0sr8,feminism,sexual_violence,14,fem_profile
XCXDjTwbwYU,OCN-dd5J1lE,feminism,sexual_violence,15,fem_profile
XCXDjTwbwYU,cYuFnDyARBw,feminism,sexual_violence,16,fem_profile
XCXDjTwbwYU,qxpADsuaTWM,feminism,sexual_violence,17,fem_profile
XCXDjTwbwYU,mGKQaIUvd2Q,feminism,sexual_violence,18,fem_profile
XCXDjTwbwYU,wtE9cbwaBnE,feminism,sexual_violence,19,fem_profile
XCXDjTwbwYU,9En5_6GmW08,feminism,sexual_violence,20,fem_profile
mJXeb5iHSAg,VpqzCWo2Ev4,feminism,sexual_violence,1,fem_profile
mJXeb5iHSAg,FQIeZDcasdM,feminism,sexual_violence,2,fem_profile
mJXeb5iHSAg,sRFF64dEWC8,feminism,sexual_violence,3,fem_profile
mJXeb5iHSAg,cYuFnDyARBw,feminism,sexual_violence,4,fem_profile
mJXeb5iHSAg,WGMgp8sup0w,feminism,sexual_violence,5,fem_profile
mJXeb5iHSAg,_By71awkTZE,feminism,sexual_violence,6,fem_profile
mJXeb5iHSAg,D2X2KX8WtFM,feminism,sexual_violence,7,fem_profile
mJXeb5iHSAg,iuavywpsZkY,feminism,sexual_violence,8,fem_profile
mJXeb5iHSAg,2ZbP07vpt6U,feminism,sexual_violence,9,fem_profile
mJXeb5iHSAg,ql-JWAneeyw,feminism,sexual_violence,10,fem_profile
mJXeb5iHSAg,mGKQaIUvd2Q,feminism,sexual_violence,11,fem_profile
mJXeb5iHSAg,kPPkcLgoNX4,feminism,sexual_violence,12,fem_profile
mJXeb5iHSAg,HYcujfJvrTs,feminism,sexual_violence,13,fem_profile
mJXeb5iHSAg,9GNmfVnZEAY,feminism,sexual_violence,14,fem_profile
mJXeb5iHSAg,orkl3SS42BI,feminism,sexual_violence,15,fem_profile
mJXeb5iHSAg,uOnVQKzfbZI,feminism,sexual_violence,16,fem_profile
